Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
1,"ASE_00001.txt",262,75,Yes,2620312
2,"ASE_00002.txt",267,73,Yes,3473424
3,"ASE_00003.txt",294,85,Yes,1198302
4,"ASE_00004.txt",310,97,Yes,998174
5,"ASE_00005.txt",341,117,Yes,749604
6,"ASE_00006.txt",309,93,Yes,527904
7,"ASE_00007.txt",346,110,Yes,611328
8,"ASE_00008.txt",344,110,Yes,1659867
9,"ASE_00009.txt",229,67,Yes,584883
10,"ASE_00010.txt",316,82,Yes,347271
11,"ASE_00011.txt",294,85,Yes,249854
12,"ASE_00012.txt",385,123,Yes,532430
13,"ASE_00013.txt",294,85,Yes,221487
14,"ASE_00014.txt",330,106,Yes,237106
15,"ASE_00015.txt",294,85,Yes,148221
16,"ASE_00016.txt",364,61,Yes,108303
17,"ASE_00017.txt",320,64,Yes,140870
18,"ASE_00018.txt",402,134,Yes,376375
19,"ASE_00019.txt",294,85,Yes,148870
20,"ASE_00020.txt",385,126,Yes,265843
